STATE,YEAR,AVG_MATH_8_SCORE,AVG_READING_8_SCORE,,,
NEW_HAMPSHIRE,2016,,,,,
NEW_JERSEY,2016,,,,,
NEW_MEXICO,2016,,,,,
NEW_YORK,2016,,,,,
NORTH_CAROLINA,2016,,,,,
NORTH_DAKOTA,2016,,,,,
OHIO,2016,,,,,
OKLAHOMA,2016,,,,,
OREGON,2016,,,,,
PENNSYLVANIA,2016,,,,,
RHODE_ISLAND,2016,,,,,
SOUTH_CAROLINA,2016,,,,,
SOUTH_DAKOTA,2016,,,,,
TENNESSEE,2016,,,,,
TEXAS,2016,,,,,
UTAH,2016,,,,,
VERMONT,2016,,,,,
VIRGINIA,2016,,,,,
WASHINGTON,2016,,,,,
WEST_VIRGINIA,2016,,,,,
WISCONSIN,2016,,,,,
WYOMING,2016,,,,,
AMERICAN_SAMOA,2001,,,,,
BUREAU_OF_INDIAN_AFFAIRS,2001,,,,,
DOD_DOMESTIC,2001,,,,,
DOD_OVERSEAS,2001,,,,,
GUAM,2001,,,,,
NORTHERN_MARIANAS,2001,,,,,
PUERTO_RICO,2001,,,,,
VIRGIN_ISLANDS,2001,,,,,
AMERICAN_SAMOA,2012,,,,,
BI,2012,,,,,
DD,2012,,,,,
GUAM,2012,,,,,
NORTHERN_MARIANA_ISLANDS,2012,,,,,
PUERTO_RICO,2012,,,,,
VIRGIN_ISLANDS,2012,,,,,
BUREAU_OF_INDIAN_AFFAIRS,2014,,,,,
DEPARTMENT_OF_DEFENSE,2014,,,,,
GUAM,2014,,,,,
PUERTO_RICO,2014,,,,,
VIRGIN_ISLANDS,2014,,,,,
AMERICAN_SAMOA,2015,,,,,
BUREAU_OF_INDIAN_EDUCATION,2015,,,,,
DEPARTMENT_OF_DEFENSE_EDUCATION_ACTIVITY,2015,,,,,
GUAM,2015,,,,,
PUERTO_RICO,2015,,,,,
U.S._VIRGIN_ISLANDS,2015,,,,,
AMERICAN_SAMOA,2010,,,,,
DOD_(OVERSEAS_AND_DOMESTIC_COMBINED),2010,,,,,
GUAM,2010,,,,,
NORTHERN_MARIANAS,2010,,,,,
PUERTO_RICO,2010,,,,,
VIRGIN_ISLANDS,2010,,,,,
AMERICAN_SAMOA,2008,,,,,
GUAM,2008,,,,,
